"Assessor"	"TVset"	"Picture"	"Repeat"	"Coloursaturation"
"59"	"4"	"TV2"	"1"	"1"	11.1
"60"	"4"	"TV1"	"1"	"1"	7.9
"61"	"4"	"TV3"	"2"	"0"	8
"62"	"4"	"TV2"	"2"	"0"	10
"63"	"4"	"TV1"	"2"	"0"	5.5
"64"	"4"	"TV3"	"2"	"1"	7.7
"65"	"4"	"TV2"	"2"	"1"	10
"66"	"4"	"TV1"	"2"	"1"	5.9
"67"	"4"	"TV3"	"3"	"0"	7.1
"68"	"4"	"TV2"	"3"	"0"	11.5
"69"	"4"	"TV1"	"3"	"0"	9.2
"70"	"4"	"TV3"	"3"	"1"	5.7
"71"	"4"	"TV2"	"3"	"1"	10.3
"72"	"4"	"TV1"	"3"	"1"	8.2
"73"	"5"	"TV3"	"1"	"0"	8.2
"74"	"5"	"TV2"	"1"	"0"	10.7
"75"	"5"	"TV1"	"1"	"0"	5.1
"76"	"5"	"TV3"	"1"	"1"	7.8
"77"	"5"	"TV2"	"1"	"1"	10.5
"78"	"5"	"TV1"	"1"	"1"	6.9
"79"	"5"	"TV3"	"2"	"0"	7.7
"80"	"5"	"TV2"	"2"	"0"	12.3
"81"	"5"	"TV1"	"2"	"0"	10.3
"82"	"5"	"TV3"	"2"	"1"	6.9
"83"	"5"	"TV2"	"2"	"1"	10.2
"84"	"5"	"TV1"	"2"	"1"	8.5
"85"	"5"	"TV3"	"3"	"0"	6.8
"86"	"5"	"TV2"	"3"	"0"	12.5
"87"	"5"	"TV1"	"3"	"0"	9.3
"88"	"5"	"TV3"	"3"	"1"	9.1
"89"	"5"	"TV2"	"3"	"1"	12.8
"90"	"5"	"TV1"	"3"	"1"	10.6
"91"	"6"	"TV3"	"1"	"0"	7.9
"92"	"6"	"TV2"	"1"	"0"	9.2
"93"	"6"	"TV1"	"1"	"0"	5.3
"94"	"6"	"TV3"	"1"	"1"	7.1
"95"	"6"	"TV2"	"1"	"1"	8.7
"96"	"6"	"TV1"	"1"	"1"	4.4
"97"	"6"	"TV3"	"2"	"0"	6.4
"98"	"6"	"TV2"	"2"	"0"	9.2
"99"	"6"	"TV1"	"2"	"0"	5.1
"100"	"6"	"TV3"	"2"	"1"	8
"101"	"6"	"TV2"	"2"	"1"	8.7
"102"	"6"	"TV1"	"2"	"1"	5
"103"	"6"	"TV3"	"3"	"0"	8.7
"104"	"6"	"TV2"	"3"	"0"	10
"105"	"6"	"TV1"	"3"	"0"	6.8
"106"	"6"	"TV3"	"3"	"1"	7
"107"	"6"	"TV2"	"3"	"1"	9.2
"108"	"6"	"TV1"	"3"	"1"	5.8
"109"	"7"	"TV3"	"1"	"0"	6.8
"110"	"7"	"TV2"	"1"	"0"	8.4
"111"	"7"	"TV1"	"1"	"0"	7.9
"112"	"7"	"TV3"	"1"	"1"	6.7
"113"	"7"	"TV2"	"1"	"1"	8.3
"114"	"7"	"TV1"	"1"	"1"	7.6
"115"	"7"	"TV3"	"2"	"0"	7.3
"116"	"7"	"TV2"	"2"	"0"	7.9
"117"	"7"	"TV1"	"2"	"0"	8
"118"	"7"	"TV3"	"2"	"1"	7.4
"119"	"7"	"TV2"	"2"	"1"	8.6
"120"	"7"	"TV1"	"2"	"1"	7.8
"121"	"7"	"TV3"	"3"	"0"	7.2
"122"	"7"	"TV2"	"3"	"0"	9.3
"123"	"7"	"TV1"	"3"	"0"	8.9
"124"	"7"	"TV3"	"3"	"1"	7.5
"125"	"7"	"TV2"	"3"	"1"	8.5
"126"	"7"	"TV1"	"3"	"1"	7.8
"127"	"8"	"TV3"	"1"	"0"	7.6
"128"	"8"	"TV2"	"1"	"0"	11.1
"129"	"8"	"TV1"	"1"	"0"	7.6
"130"	"8"	"TV3"	"1"	"1"	7.4
"131"	"8"	"TV2"	"1"	"1"	9.7
"132"	"8"	"TV1"	"1"	"1"	8.4
"133"	"8"	"TV3"	"2"	"0"	7.5
"134"	"8"	"TV2"	"2"	"0"	9.7
"135"	"8"	"TV1"	"2"	"0"	8
"136"	"8"	"TV3"	"2"	"1"	7.7
"137"	"8"	"TV2"	"2"	"1"	9.8
"138"	"8"	"TV1"	"2"	"1"	9
"139"	"8"	"TV3"	"3"	"0"	7.7
"140"	"8"	"TV2"	"3"	"0"	12
"141"	"8"	"TV1"	"3"	"0"	9
"142"	"8"	"TV3"	"3"	"1"	7.3
"143"	"8"	"TV2"	"3"	"1"	10.2
"144"	"8"	"TV1"	"3"	"1"	8.9
