"school","class","sex","sc","ravens","pupil","english.0","maths.0","english.1","maths.1"
"4","1","0","7",21,90,32,8,61,8
"4","1","1","5",28,91,56,28,81,23
"4","1","0","4",26,92,54,21,65,16
"4","1","1","4",32,93,73,37,87,34
"4","1","0","4",23,94,37,20,74,25
"4","1","1","7",26,95,6,10,17,19
"4","1","1","5",23,96,19,11,30,9
"4","1","0","6",26,97,34,21,65,19
"4","1","1","7",33,98,82,35,85,36
"4","1","1","9",26,99,23,27,56,17
"4","1","0","7",26,100,68,30,80,25
"4","1","0","5",29,101,78,30,85,29
"4","1","1","4",32,102,25,21,47,26
"4","1","0","7",17,103,14,12,31,8
"4","1","0","9",28,104,53,24,82,29
"4","1","1","7",31,105,60,21,82,25
"4","1","1","4",32,107,24,23,64,25
"4","1","1","4",26,108,23,23,79,26
"4","1","0","4",16,109,33,28,85,26
"4","1","1","9",26,110,31,21,65,28
"4","1","0","4",27,111,63,29,80,29
"5","1","1","4",20,115,5,14,62,6
"5","1","1","4",25,116,8,12,27,17
"5","1","1","3",27,117,43,4,64,2
"5","1","0","5",23,118,10,11,17,5
"5","1","1","4",17,119,25,26,74,32
"5","1","0","2",33,122,74,30,84,32
"5","1","1","1",25,124,64,25,76,33
"5","1","0","4",23,125,40,20,66,22
"5","1","0","2",33,126,87,34,88,33
"5","1","1","3",29,127,41,18,75,29
"5","1","0","2",30,128,85,32,91,33
"5","1","0","2",32,129,84,33,90,37
"5","1","1","4",30,130,61,25,83,33
"5","1","0","2",34,132,80,31,88,36
"5","2","1","2",27,135,51,29,76,34
"5","2","0","4",24,136,50,25,70,21
"5","2","0","4",32,137,82,31,80,32
"5","2","1","2",28,138,87,37,81,36
"5","2","1","2",28,139,64,26,81,36
"5","2","0","9",24,140,45,26,79,27
"5","2","0","5",30,141,72,35,81,34
"5","2","0","1",32,142,82,35,88,33
"5","2","0","1",29,143,73,30,79,34
"5","2","0","3",29,146,64,33,87,26
"5","2","1","1",22,148,65,28,82,30
"5","2","1","9",22,149,39,18,77,14
"5","2","1","1",32,150,53,31,81,32
"5","2","1","2",27,151,89,40,90,38
"6","1","1","4",26,152,14,31,69,28
"6","1","0","9",28,154,43,23,76,16
"6","1","0","6",20,155,59,21,76,21
"6","1","1","7",30,157,30,26,59,23
"6","1","0","4",19,158,70,24,79,29
"6","1","1","4",31,159,66,29,82,35
"6","1","0","5",26,164,70,21,80,18
"6","1","1","2",27,167,27,26,63,23
"6","1","0","4",22,168,75,32,86,31
"6","1","0","7",12,171,50,19,79,20
"6","1","0","9",28,172,69,25,84,29
"6","2","1","4",28,175,28,30,57,30
"6","2","1","4",34,176,80,33,86,33
"6","2","0","4",23,177,66,31,85,23
"6","2","1","4",27,182,54,28,78,28
"6","2","1","9",24,183,41,25,75,16
"6","2","1","9",29,184,40,30,44,23
"6","2","0","4",23,185,40,28,51,17
"7","1","1","5",14,190,19,8,33,9
"7","1","0","9",35,191,87,38,89,36
"7","1","0","9",33,193,18,33,55,31
"7","1","0","9",32,194,78,34,90,39
"7","1","1","6",28,195,55,31,74,31
"7","1","0","4",22,196,24,17,74,24
"7","1","0","7",23,197,17,21,67,31
"7","1","1","9",29,198,85,37,89,35
"7","2","0","2",32,200,28,35,73,34
"7","2","0","2",29,201,40,31,89,32
"7","2","1","9",20,202,55,25,69,30
"7","2","0","9",25,203,31,27,21,21
"7","2","0","4",16,204,15,9,9,10
"8","1","0","8",16,208,35,14,69,15
"8","1","1","4",22,209,37,23,74,27
"8","1","0","4",19,211,37,20,52,16
"8","1","1","5",29,212,73,30,83,33
"8","1","0","4",29,213,75,22,89,27
"8","1","1","5",26,214,69,31,81,34
"8","1","0","4",27,215,61,28,79,33
"8","1","1","7",32,217,54,29,85,34
"8","1","1","4",26,218,35,23,79,36
"8","1","0","5",28,219,70,30,78,32
"8","1","1","2",26,220,87,34,85,32
"8","2","0","4",21,221,27,30,69,28
"8","2","0","4",33,222,48,22,43,23
"8","2","0","7",33,223,88,34,89,32
"8","2","1","3",17,224,15,22,61,18
"8","2","0","9",32,225,55,29,81,28
"8","2","1","6",24,226,18,17,39,23
"8","2","0","4",27,227,63,25,82,24
"8","2","1","9",25,228,24,25,65,24
"8","2","0","5",12,229,60,18,62,18
"8","2","0","4",27,230,88,35,85,28
"8","2","0","9",18,232,63,26,87,23
"8","2","1","9",34,233,57,34,80,31
"8","2","1","3",22,234,32,29,67,30
"8","3","0","4",17,235,9,13,63,20
"8","3","0","9",27,237,49,24,85,30
"8","3","1","7",27,238,49,22,85,25
"8","3","0","9",27,239,75,25,88,21
"8","3","0","4",22,241,30,28,77,21
"9","1","1","4",31,243,73,26,87,28
"9","1","0","1",33,244,84,39,87,36
"9","1","0","4",34,245,83,33,86,35
"9","1","0","3",34,246,88,33,91,35
"9","1","0","2",33,247,88,37,87,35
"9","1","1","1",35,248,88,36,88,38
"9","1","1","2",35,249,71,33,83,35
"9","1","1","2",31,250,89,36,89,38
"9","2","1","3",29,251,16,11,43,15
"9","2","1","4",34,252,27,24,48,18
"9","2","1","2",27,253,39,28,67,20
"9","2","1","4",32,254,74,30,81,29
"9","2","1","2",30,255,80,23,82,22
"9","2","0","5",28,256,38,26,67,28
"9","2","1","1",36,257,83,33,88,35
"9","2","0","8",31,258,32,26,62,24
"9","2","1","2",35,259,70,34,81,32
"9","2","0","2",34,260,53,25,84,24
"9","2","0","3",29,261,25,29,79,30
"9","2","0","4",26,262,22,18,64,19
"9","3","1","1",28,263,10,13,23,15
"9","3","1","1",20,264,24,16,21,16
"10","1","1","6",31,267,55,24,68,32
"10","1","1","4",23,268,11,18,61,28
"10","1","1","4",22,269,34,21,76,30
"10","1","1","7",30,270,33,31,72,29
"10","1","0","4",31,271,73,32,87,35
"10","1","1","1",24,272,50,23,75,22
"10","1","0","4",21,273,55,30,66,31
"10","1","0","5",22,276,46,18,65,22
"10","1","1","4",16,278,23,19,27,29
"10","1","0","4",13,279,22,15,23,27
"11","1","1","3",21,280,16,26,74,21
"11","1","1","3",19,284,37,28,80,18
"11","1","1","4",12,285,8,21,34,17
"11","2","0","3",23,287,9,25,49,30
"11","2","1","3",21,288,42,22,85,31
"11","2","0","9",21,289,8,18,59,25
"11","2","0","3",19,290,31,29,81,25
"11","2","0","4",25,291,26,23,78,30
"11","2","1","8",24,292,6,21,34,27
"11","2","1","4",31,293,23,31,71,32
"11","2","1","4",28,294,19,27,65,25
"11","2","1","6",20,295,14,26,39,16
"12","1","0","4",22,296,59,28,41,23
"12","1","1","4",19,297,17,9,17,15
"12","1","0","4",28,298,87,25,86,30
"12","1","1","5",18,299,66,32,66,37
"12","2","1","1",34,300,79,34,84,28
"12","2","0","4",23,302,54,24,67,19
"12","2","0","7",20,303,32,23,51,25
"12","2","0","2",35,305,82,39,88,36
"12","2","0","4",35,306,80,36,89,37
"12","3","1","3",23,307,41,26,71,24
"12","3","0","8",29,308,65,25,80,20
"12","3","0","3",32,309,76,29,84,29
"12","3","0","6",24,310,54,21,84,20
"12","3","1","7",29,311,53,22,63,31
"12","4","1","4",24,312,31,28,55,27
"12","4","1","1",25,313,20,23,33,27
"12","4","0","6",14,314,34,19,62,28
"12","4","1","6",16,315,45,21,60,31
"12","4","0","5",24,316,77,28,87,33
"12","4","0","4",27,317,83,28,85,28
"12","4","0","3",24,318,73,28,83,29
"12","4","1","4",19,320,13,21,50,25
"12","4","1","4",27,321,23,22,76,24
"12","4","0","4",29,322,74,32,78,34
"12","4","1","4",15,323,8,16,31,15
"12","4","0","9",24,324,11,25,53,20
"13","1","0","5",27,328,81,34,81,27
"13","1","0","4",32,329,60,31,81,29
"13","1","0","4",29,330,84,33,86,30
"13","1","1","9",24,331,16,26,81,28
"13","1","0","4",30,332,27,25,74,27
"13","1","1","4",22,333,17,21,52,25
"13","1","1","9",26,334,15,28,50,25
"13","1","1","6",21,335,13,21,43,18
"13","1","0","4",16,336,24,21,64,10
"13","1","1","4",28,337,6,20,69,11
"13","1","1","9",19,338,17,23,39,24
"13","1","0","4",18,339,47,25,87,28
"13","1","0","2",28,340,34,23,47,12
"13","1","0","2",25,341,43,27,80,27
"13","1","1","5",30,342,23,35,65,34
"13","1","0","4",21,343,28,27,69,20
"13","2","1","9",13,344,17,14,27,19
"13","2","1","4",19,347,20,24,57,20
"13","2","1","2",21,348,15,20,34,12
"13","2","0","5",12,349,30,14,33,11
"13","2","1","6",22,350,13,14,39,12
"13","2","1","4",15,352,16,15,25,16
"14","1","1","9",16,353,11,14,20,3
"14","1","1","7",11,354,13,12,46,7
"14","1","1","7",22,355,59,30,70,20
"14","1","0","9",21,356,31,26,69,24
"14","1","0","4",25,357,61,30,73,22
"14","1","0","9",25,358,42,15,49,18
"14","1","0","7",20,359,48,23,65,25
"14","1","0","9",16,361,48,17,60,20
"14","1","1","4",27,362,22,19,32,16
"14","1","1","4",18,363,14,15,23,17
"14","1","1","5",27,364,16,25,28,27
"14","1","1","9",33,365,88,33,86,30
"14","1","1","9",31,366,75,29,88,33
"14","1","1","9",25,367,29,25,71,28
"14","1","1","9",20,368,37,15,39,18
"15","1","1","4",28,369,38,29,71,28
"15","1","0","4",34,370,36,30,51,25
"15","1","0","5",31,371,62,25,78,21
"15","1","0","1",35,372,87,38,90,38
"15","1","1","4",32,373,65,29,80,29
"15","1","0","4",16,374,52,20,66,27
"15","1","0","2",36,375,88,37,90,36
"15","1","0","9",27,376,78,34,82,32
"15","1","0","3",17,377,50,20,75,12
"15","1","1","7",25,378,60,36,76,33
"15","1","1","9",16,379,17,8,27,5
"15","1","1","9",34,380,81,26,78,23
"15","1","1","4",29,381,20,22,41,13
"15","2","1","4",23,383,3,15,10,8
"15","2","0","2",34,384,87,34,89,35
"15","2","0","4",27,385,33,34,50,24
"15","2","0","9",23,386,58,31,65,20
"15","2","0","9",19,387,39,22,48,13
"15","2","1","9",14,390,23,16,31,19
"15","2","0","4",24,391,67,24,72,21
"15","2","1","5",24,393,79,36,85,26
"15","2","0","4",18,395,30,20,56,15
"16","1","1","3",11,396,2,15,22,3
"16","1","1","4",23,397,35,30,69,27
"16","1","0","4",22,398,45,23,61,31
"16","1","1","6",21,400,61,27,74,26
"16","1","0","4",21,402,48,22,65,21
"16","1","1","2",19,403,17,16,28,11
"16","1","0","9",18,404,23,24,75,13
"16","1","0","6",20,405,34,18,58,21
"16","1","1","3",27,407,47,27,71,34
"16","1","0","9",25,408,83,35,85,34
"16","1","0","4",15,409,8,17,26,12
"16","1","1","5",26,410,29,22,54,23
"16","1","1","4",19,411,18,27,21,24
"16","1","0","4",15,412,23,14,43,8
"16","1","1","6",22,413,19,12,28,3
"16","1","1","4",25,414,3,8,2,8
"16","2","1","6",20,415,29,22,56,21
"16","2","1","9",26,416,77,31,86,35
"17","1","1","2",33,417,86,39,88,36
"17","1","0","4",28,420,42,23,72,24
"17","1","0","8",31,421,88,33,88,33
"17","2","0","8",24,425,50,21,72,25
"17","2","0","4",25,426,32,20,55,19
"17","2","0","9",31,429,27,30,76,30
"17","2","1","9",16,430,14,11,17,15
"18","1","1","4",24,435,53,31,49,26
"18","1","1","3",30,436,60,36,84,28
"18","1","1","9",10,437,23,15,21,10
"18","1","1","4",17,438,25,14,52,13
"18","1","1","4",28,439,53,22,81,23
"18","1","0","4",30,440,69,30,83,28
"18","1","0","1",34,441,85,34,89,33
"18","1","0","9",26,442,50,28,66,27
"18","1","0","4",23,444,54,22,68,20
"18","1","1","3",25,446,84,32,88,27
"18","1","0","5",19,447,53,25,68,22
"18","1","0","4",23,448,52,24,59,11
"18","1","0","4",31,449,87,35,89,29
"18","1","0","6",31,450,77,32,81,28
"18","1","0","9",26,451,51,25,66,27
"18","1","1","8",24,452,68,21,81,20
"18","1","1","5",31,453,30,17,49,16
"19","1","0","4",22,455,12,15,34,27
"19","1","1","5",21,456,24,30,54,30
"19","1","1","5",21,457,47,13,64,13
"19","1","1","9",32,459,26,32,51,33
"19","1","1","5",22,460,65,35,85,30
"19","1","0","5",17,461,21,15,77,26
"19","1","1","5",25,462,28,19,47,28
"19","1","0","1",27,464,38,26,66,28
"19","2","1","5",24,465,30,37,57,29
"19","2","0","5",22,467,61,22,70,27
"19","2","0","5",34,468,46,26,71,30
"19","2","0","5",36,469,74,36,80,35
"19","2","1","5",19,471,30,25,71,19
"20","1","1","6",31,472,43,30,51,24
"20","1","1","4",23,473,20,26,54,17
"20","1","0","7",29,475,65,20,77,15
"20","1","0","2",35,476,86,37,89,32
"20","1","1","3",34,477,54,30,75,28
"20","1","1","6",24,478,28,25,45,5
"20","1","0","4",26,479,51,26,66,18
"20","2","1","9",26,480,17,19,61,18
"20","2","1","9",31,481,23,19,32,29
"20","2","1","9",27,482,66,20,79,27
"20","2","0","6",26,486,65,29,84,26
"20","2","0","7",27,487,61,27,80,23
"20","2","1","3",29,489,42,25,72,25
"20","2","1","9",31,491,46,26,74,33
"21","1","0","5",27,492,50,27,83,21
"21","1","1","4",24,494,68,30,83,31
"21","1","0","3",30,495,35,22,54,24
"21","1","1","9",30,496,26,17,76,31
"21","1","1","1",22,497,19,16,46,13
"21","1","0","9",21,498,49,19,81,25
"21","1","1","6",25,499,48,28,76,23
"21","1","1","6",32,500,14,18,25,15
"21","1","0","6",19,501,15,20,55,11
"21","1","0","4",23,502,11,14,22,8
"21","1","1","4",34,503,72,25,84,25
"21","1","1","4",25,504,36,21,69,18
"21","1","1","6",21,505,17,24,60,20
"21","1","0","4",29,506,38,16,60,21
"21","1","0","4",35,507,48,31,86,31
"21","2","1","9",30,508,20,31,42,29
"21","2","1","4",14,509,13,18,45,11
"21","2","1","6",23,510,14,11,38,11
"21","2","1","7",31,511,36,13,76,20
"21","2","1","9",22,512,25,13,28,16
"21","2","1","6",25,514,20,16,35,25
"21","2","0","6",25,515,32,17,67,17
"21","2","1","4",27,516,18,28,58,28
"21","2","0","4",28,517,31,18,78,19
"21","2","1","1",32,518,44,29,88,28
"21","2","0","4",23,519,9,16,37,13
"21","2","1","9",33,520,17,22,29,27
"21","2","1","4",30,521,14,21,52,19
"21","2","1","4",31,522,46,18,88,24
"21","2","1","6",26,523,26,25,73,31
"21","2","0","9",27,524,53,23,74,24
"21","2","0","3",31,525,68,30,80,21
"22","1","1","7",20,526,18,12,12,5
"22","1","1","7",26,527,62,35,84,24
"22","1","0","3",36,528,27,25,34,14
"22","1","0","6",24,529,44,29,56,25
"22","1","0","3",35,530,82,39,87,36
"22","1","1","4",30,531,13,32,12,37
"22","1","1","3",29,532,50,32,82,26
"22","1","0","3",31,533,68,23,70,20
"22","1","1","7",25,534,57,29,66,18
"22","2","1","4",19,535,4,14,3,2
"22","2","0","9",24,536,16,22,56,23
"22","2","1","4",27,537,70,23,82,25
"22","2","1","4",23,538,34,24,46,22
"22","2","1","8",29,539,18,25,18,16
"22","2","1","5",16,540,67,27,62,17
"22","2","1","4",25,541,25,23,38,24
"23","1","0","7",12,543,13,16,22,6
"23","1","0","4",31,545,79,34,87,33
"23","1","1","3",26,546,9,18,7,16
"23","1","1","4",25,548,70,28,72,26
"23","1","1","7",19,549,11,26,19,13
"23","1","0","7",25,550,70,25,83,26
"23","1","1","6",31,551,71,29,79,33
"23","1","1","9",25,552,43,30,64,21
"23","1","1","4",22,553,43,31,72,28
"23","1","1","5",27,554,84,36,85,39
"23","2","0","7",23,555,27,14,46,25
"23","2","1","8",15,556,19,12,70,12
"23","2","1","5",28,557,40,23,61,24
"23","2","1","9",24,558,56,25,64,24
"23","2","1","7",14,559,1,12,8,13
"23","2","0","7",28,560,64,24,83,28
"23","2","1","2",36,561,83,33,90,34
"23","2","1","9",17,562,42,25,63,27
"23","2","1","3",28,563,72,28,82,23
"23","2","0","4",27,564,31,26,60,30
"24","1","0","9",20,565,42,24,74,26
"24","1","1","2",23,566,72,25,85,27
"24","1","0","4",11,567,9,15,50,18
"24","1","1","9",29,568,40,31,56,36
"24","1","1","4",22,569,24,21,48,11
"24","1","1","3",24,570,79,35,86,31
"24","1","0","2",21,571,82,31,90,32
"24","1","1","4",36,572,62,31,80,32
"24","1","1","5",23,573,41,20,55,22
"24","1","1","9",26,574,72,30,83,33
"24","1","0","4",30,576,83,34,87,32
"24","1","1","4",22,577,70,27,82,25
"24","1","0","9",32,578,89,37,89,36
"24","1","0","2",32,579,87,35,87,35
"24","1","0","4",28,580,41,20,74,29
"24","1","0","4",22,582,25,12,68,15
"24","1","0","4",21,583,71,18,81,27
"24","1","0","5",24,584,70,22,84,20
"24","1","1","4",24,585,43,26,72,24
"24","1","0","4",23,586,52,26,76,27
"24","1","0","4",32,587,86,31,88,38
"25","1","0","9",16,589,32,20,54,15
"25","1","0","4",20,590,26,23,47,22
"25","1","1","9",20,592,12,22,27,12
"25","1","0","9",33,593,83,31,88,30
"25","1","1","9",35,594,84,38,88,34
"25","1","0","2",22,597,70,25,80,19
"25","1","0","9",34,598,87,34,89,36
"25","1","0","1",31,599,84,36,87,35
"25","1","1","3",4,601,55,27,32,16
"25","1","1","5",26,603,26,30,29,22
"25","1","1","9",23,605,49,25,75,26
"25","1","1","4",25,607,53,27,40,24
"25","1","1","6",29,608,51,31,66,29
"25","1","1","9",30,612,15,18,30,23
"25","1","1","6",16,613,71,31,81,28
"26","1","1","4",28,614,21,21,79,26
"26","1","0","6",29,615,43,31,84,36
"26","1","0","6",13,616,22,25,73,27
"26","1","0","4",22,617,31,20,51,25
"26","1","1","4",32,618,25,30,50,25
"26","1","1","9",20,619,13,23,36,20
"26","1","1","4",22,620,54,29,84,31
"26","1","1","4",19,621,23,15,78,18
"26","1","1","4",26,622,65,30,83,34
"26","1","0","9",17,623,16,11,42,16
"26","1","1","4",26,624,6,11,34,14
"26","1","0","4",27,625,32,32,78,35
"26","1","0","5",28,626,23,25,69,29
"26","1","1","4",24,627,46,22,66,20
"26","1","0","4",30,628,58,33,80,38
"26","1","0","4",32,629,88,22,89,29
"26","1","1","9",32,630,29,15,61,25
"26","1","1","4",12,632,2,13,15,18
"26","1","0","4",24,633,22,25,73,31
"26","1","0","4",14,634,64,31,87,36
"26","2","1","4",23,635,61,34,81,28
"26","2","1","4",20,636,74,28,85,33
"26","2","0","4",26,637,69,24,80,20
"26","2","1","4",27,638,41,31,70,30
"26","2","0","4",19,639,55,32,65,30
"26","2","1","4",30,640,75,33,79,28
"26","2","1","7",33,641,67,33,85,35
"26","2","1","9",27,642,64,24,78,18
"26","2","1","4",14,643,38,17,54,14
"27","1","0","2",21,644,50,22,74,21
"27","1","1","3",14,645,16,16,25,23
"27","1","1","4",25,646,19,19,41,22
"27","1","0","6",28,648,33,25,59,26
"27","1","1","2",23,649,28,28,71,26
"27","1","0","5",14,650,14,18,49,8
"27","1","1","4",28,651,51,28,64,26
"27","1","1","4",19,652,22,23,32,16
"27","1","1","6",18,653,9,8,13,7
"27","1","0","2",24,654,69,20,81,21
"27","1","1","3",20,655,49,23,68,25
"27","1","1","4",24,656,13,25,39,22
"27","2","0","4",17,658,45,17,52,8
"27","2","0","6",23,659,59,27,77,28
"27","2","1","3",24,660,58,22,66,27
"27","2","1","4",26,661,65,26,77,22
"27","2","1","9",23,662,21,22,31,14
"27","2","0","6",25,663,20,19,21,16
"27","2","0","2",25,664,34,18,55,20
"27","2","0","4",28,665,81,36,80,37
"27","2","0","7",26,666,34,25,48,24
"27","2","1","4",23,667,25,24,64,19
"27","2","1","6",23,670,19,18,14,19
"27","2","1","6",30,671,68,30,80,36
"28","1","0","6",22,672,3,13,14,13
"28","1","0","5",22,673,15,11,13,9
"28","1","0","4",24,677,25,16,37,14
"28","1","0","7",22,678,26,9,47,10
"28","1","1","7",25,679,13,21,27,14
"28","1","0","5",23,680,22,25,68,22
"28","2","1","7",19,684,8,14,22,17
"28","2","0","2",24,686,10,24,52,24
"28","2","0","9",25,687,86,27,91,30
"28","2","0","3",19,688,17,12,41,28
"28","2","1","1",21,689,14,11,27,24
"28","2","1","4",20,690,20,27,50,16
"28","2","1","5",15,691,64,29,87,33
"28","2","0","4",23,692,41,26,57,23
"28","2","0","1",31,694,74,29,89,32
"29","1","1","6",30,696,52,23,75,29
"29","1","0","4",32,699,62,32,84,35
"29","1","0","7",14,700,22,18,42,23
"29","1","0","4",30,701,46,19,76,27
"29","1","0","2",30,702,81,30,81,31
"29","1","0","2",33,703,49,22,70,29
"29","1","1","3",24,705,15,20,23,32
"29","1","1","4",24,707,22,19,59,30
"29","1","0","4",24,708,64,28,83,21
"29","1","1","2",33,709,80,24,77,29
"29","1","1","3",35,710,31,25,46,24
"29","1","1","4",33,711,67,31,82,31
"29","1","0","2",21,712,72,25,77,28
"29","1","1","6",16,713,26,17,27,15
"29","1","1","4",34,714,46,24,69,28
"29","1","0","2",31,715,46,19,77,23
"29","1","1","4",33,716,18,21,42,30
"29","1","1","2",34,717,83,36,89,29
"29","2","0","4",25,719,45,27,68,24
"29","2","0","5",32,720,86,35,88,35
"29","2","0","5",27,721,76,31,81,35
"29","2","0","5",27,722,52,30,66,30
"29","2","0","4",27,723,86,34,89,34
"29","2","0","4",27,724,72,22,80,27
"30","1","0","3",24,725,82,33,90,33
"30","1","0","3",23,726,84,23,87,29
"30","1","1","4",18,728,21,8,19,17
"30","1","1","9",23,729,53,28,77,22
"30","1","0","3",16,730,78,28,87,30
"30","1","0","9",32,731,74,28,89,30
"30","1","0","4",19,732,69,22,79,21
"30","1","0","4",17,733,36,12,59,22
"30","1","0","4",29,734,72,19,84,25
"30","1","0","4",23,736,79,22,79,27
"30","1","1","2",22,737,39,13,39,12
"30","2","1","3",18,740,60,28,78,26
"30","2","0","4",17,741,63,19,72,22
"30","2","0","4",26,743,86,23,88,32
"30","2","0","4",34,744,83,34,88,36
"30","2","0","4",20,745,50,31,71,30
"30","2","0","9",19,746,67,28,82,26
"30","2","0","4",24,747,50,28,78,33
"30","2","0","4",23,748,69,30,81,26
"30","2","0","9",27,750,69,24,90,29
"30","2","0","8",21,751,71,25,77,25
"30","2","0","4",27,752,52,29,70,31
"30","2","1","7",22,753,52,33,75,31
"30","2","0","2",24,754,87,27,89,33
"30","2","0","2",25,755,79,33,88,25
"30","2","0","4",17,757,77,26,85,27
"30","2","0","2",23,759,58,21,82,24
"30","2","0","4",18,760,6,12,30,10
"30","2","1","4",26,762,57,25,70,19
"31","1","1","4",30,764,26,18,76,21
"31","1","1","2",34,765,76,35,86,37
"31","1","1","2",26,766,65,29,85,29
"31","1","1","1",31,768,76,32,89,37
"31","1","0","4",26,770,75,28,82,31
"31","1","1","4",25,771,26,17,71,20
"31","1","0","4",26,772,76,25,83,28
"31","1","0","2",25,773,67,24,78,15
"31","1","1","2",35,774,22,33,73,32
"31","1","1","2",33,775,47,35,79,30
"31","1","0","5",21,776,40,20,69,18
"31","1","0","6",18,777,31,20,71,19
"31","1","0","4",22,779,57,22,74,23
"31","1","1","3",22,780,31,18,69,25
"31","1","1","4",23,781,29,14,74,15
"31","1","1","4",20,782,14,13,62,20
"31","1","0","8",29,783,73,34,86,24
"31","1","1","5",32,784,26,27,69,21
"31","1","1","5",25,785,30,26,64,32
"31","2","1","2",33,786,84,33,89,39
"31","2","1","4",23,787,63,28,76,21
"31","2","0","3",30,788,79,34,88,33
"31","2","0","3",32,789,85,38,90,38
"31","2","0","2",29,790,74,35,86,33
"31","2","0","2",34,791,84,36,87,40
"31","2","1","2",36,793,83,40,86,37
"31","2","1","2",35,794,88,35,90,30
"31","2","1","3",26,796,82,37,88,33
"31","2","1","3",34,797,87,40,88,40
"31","2","1","2",28,798,37,33,70,36
"31","2","0","4",27,799,69,30,79,33
"31","2","0","3",19,800,49,24,68,21
"31","2","1","9",32,801,59,27,80,28
"31","2","0","4",26,802,34,22,70,24
"31","2","0","9",12,803,59,13,79,10
"31","3","1","9",34,804,83,35,89,35
"32","1","0","4",12,805,21,20,42,17
"32","1","0","9",23,807,74,30,83,32
"32","1","0","5",27,808,35,24,82,32
"32","1","0","3",31,809,88,32,90,34
"32","1","0","2",22,810,29,21,67,27
"32","1","0","2",28,811,82,29,87,33
"32","1","0","9",22,812,31,24,52,18
"32","1","0","4",20,813,32,16,52,19
"32","1","0","4",22,814,82,36,90,39
"32","1","0","2",28,815,90,33,86,33
"32","1","0","4",18,816,31,20,64,25
"32","1","0","5",19,817,51,31,75,29
"32","1","0","4",33,818,76,31,88,32
"32","1","0","6",10,819,27,17,28,23
"32","1","0","4",19,820,45,23,78,26
"32","1","0","3",26,821,17,18,66,22
"32","1","0","9",22,822,59,29,86,31
"32","1","0","1",19,823,70,30,82,24
"32","1","0","2",32,824,51,34,85,32
"32","1","0","2",14,825,30,11,66,12
"32","1","0","4",22,826,58,26,79,29
"32","1","0","2",28,827,23,18,24,18
"32","1","0","2",13,828,47,17,64,23
"32","1","0","5",23,829,40,14,63,16
"32","1","0","5",17,830,56,22,71,31
"33","1","0","4",32,831,57,30,63,24
"33","1","0","6",23,832,24,20,41,25
"33","1","1","7",26,833,64,35,82,23
"33","1","1","4",16,834,16,21,33,13
"33","1","1","4",24,835,50,27,60,20
"33","1","1","4",24,838,69,28,87,26
"33","1","1","4",23,841,37,28,71,31
"33","1","0","4",29,842,81,34,87,36
"33","1","0","5",11,843,45,19,61,17
"33","1","1","6",14,845,18,22,61,15
